,Alay,KBBI
922,niiihh,nih
923,imuuttt,imut
924,imuttzz,imut
925,nha,nya
926,konten2,konten-konten
927,rasain,rasai
928,daaaah,deh
929,asliiii,asli
930,cantiknnnnyaaaaaaa,cantiknya
931,yuuk,yuk
932,ngelihatnya,melihatnya
933,bdn,badan
934,na,nya
935,ibu2,ibu-ibu
936,lau,kau
937,cantikk,cantik
938,sexxi,seksi
939,bulet,bulat
940,ituu,itu
941,ngocok,mengocok
942,nyoba,mencoba
943,gn,begini
944,yaahhh,ya
945,kencqng,kencang
946,kra,kira
947,diginikan,dibeginikan
948,"coret""",coret-coret
949,lahh,lah
950,gambarin,gambarkan
951,ngerii,ngeri
952,digambarin,digambarkan
953,klen,kalian
954,bangke,bangkai
955,kog,kok
956,liatnya,lihatnya
957,bedanyaaa,bedanya
958,negri,negeri
959,mbk,mbak
960,pgin,pengin
961,krudungan,kerudungan
962,ajaa,saja
963,maksutku,maksudku
964,kerennnnn,keren
965,njirr,anjir
966,jd'y,jadinya
967,manisnyaaaa,manisnya
968,thun,tahun
969,mbg,mbak
970,bangeet,banget
971,ngaco,mengaco
972,ngomen,mengomentari
973,kaaakk,kak
974,gituh,begitu
975,tenggah,tengah
976,uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
977,kocakkkkkkkkkkkkkk,kocak
978,ksukaanmuuu,kesukaanmu
979,bagiii,bagi
980,ayooo,ayo
981,nontonx,menontonnya
982,dpn,depan
983,pi,tapi
984,penasarannnn,penasaran
985,gilakkkkkk,gila
986,mauuu,mau
987,nontoonnn,menonton
988,cepet2,cepat-cepat
989,kepingin,pengin
990,nontonnnn,menonton
991,deeek,dek
992,ntappp,mantap
993,deg2an,deg-degan
994,cyiiin,cinta
995,iyha,iya
996,kureeeen,keren
997,muantaap,mantap
998,pake,pakai
999,ngantri,mengantri
1000,bli,beli
1001,nraktir,mentraktir
1002,nonton,menonton
1003,sbnyak,sebanyak
1004,penasaraaann,penasaran
1005,ayoooo,ayo
1006,nii,ini
1007,nontonya,menontonnya
1008,kl,kalau
1009,nunggu,menunggu
1010,dpt,dapat
1011,qta,kita
1012,peen,pengin
1013,gga,enggak
1014,yaah,ya
1015,asikkk,asik
1016,gilak,gila
1017,mcm,macam
1018,ceritax,ceritanya
1019,yoooiii,yoi
1020,udahh,sudah
1021,tauuuuu,tau
1022,sabarrrrr,sabar
1023,kqmu,kamu
1024,banggain,banggakan
1025,thn,tahun
1026,pengan,pengin
1027,sendeng,senang
1028,simpen,simpan
1029,gakk,enggak
1030,bagiin,bagikan
1031,nanggepin,menanggapi
1032,kapn,kapan
1033,barang2,barang-barang
1034,kirimin,mengirimi
1035,senengin,senangi
1036,ngasih,mengasih
1037,ampunnnn,ampun
1038,bln,bulan
1039,senengg,senang
1040,teruzzz,terus
1041,mantabb,mantab
1042,sumpahh,sumpah
1043,diluarann,diluaran
1044,trbaik,terbaik
1045,dlam,dalam
1046,anjirrrr,anjir
1047,jendess,janda
1048,sichh,sih
1049,namnya,namanya
1050,geh,gih
1051,22nya,dua-duanya
1052,aduuhhh,aduh
1053,miripp,mirip
1054,silauuu,silau
1055,waww,wow
1056,njiirr,anjir
1057,bgs,bagus
1058,kesinii,kesini
1059,gemay,gemas
1060,dstu,disitu
1061,wiiiihhhh,wih
1062,samoga,semoga
1063,kereennn,keren
1064,wahh,wah
1065,nyangkaa,menyangka
1066,hasilnyaaa,hasilnya
1067,dahhhh,dah
1068,mudah2,mudah-mudah
1069,jugaakk,juga
1070,prnh,pernah
1071,diapa2in,diapa-apai
1072,yaak,ya
1073,lhoo,loh
1074,donx,dong
1075,gthu,begitu
1076,maauuu,mau
1077,pacarrr,pacar
1078,idamann,idaman
1079,naturalllll,natural
1080,bnyak,banyak
1081,berntung,beruntung
1082,merka,mereka
1083,jln2,jalan-jalan
1084,romntis,romantis
